from,to,breaks,silent,const.absent,const.renamed,const.kind-changed,const.arity-changed,const.binders-changed,const.universes-changed,const.type-changed,const.class-changed,const.reducibility-changed,const.protected-changed,const.fields-changed,const.ctors-changed,instance.absent,instance.priority-changed,deprecation.alias-absent,tactic.absent,syntax.category-absent,syntax.token-absent,syntax.kind-absent,token.absent,attr.absent,option.absent,option.default-changed,simp.lemma-absent,simp.unfold-absent
4.16.0,4.17.0,1224,131,338,22,44,99,20,2,442,0,57,2,19,7,22,0,68,0,0,2,2,0,3,1,0,74,0
4.17.0,4.18.0,2702,268,1012,57,71,171,23,12,947,0,60,6,28,11,82,0,6,1,0,2,4,0,0,1,0,208,0
4.18.0,4.19.0,5863,574,874,35,276,548,1926,17,1207,0,292,166,57,21,79,0,81,0,0,1,0,1,0,0,0,281,1
4.19.0,4.20.0,1933,192,172,16,90,318,46,38,938,0,78,3,38,6,28,1,12,0,0,0,0,0,0,36,0,113,0
4.20.0,4.20.1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.20.1,4.21.0,3215,258,763,73,44,211,63,1,1303,0,48,4,25,9,160,0,299,0,0,0,1,0,0,1,1,207,2
4.21.0,4.22.0,3057,111,764,51,14,396,16,75,1458,0,23,1,60,18,82,1,0,0,0,0,7,3,0,1,4,83,0
4.22.0,4.23.0,10759,715,5492,76,16,555,12,561,2806,1,21,3,43,20,224,0,190,2,0,1,8,4,0,30,0,690,4
4.23.0,4.24.0,6000,119,4093,36,22,466,154,92,689,0,6,124,40,9,142,0,0,0,0,0,12,0,0,2,0,112,1
4.24.0,4.24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.24.1,4.25.0,3107,140,1171,41,9,272,8,3,874,2,24,2,49,16,212,0,284,0,0,3,16,1,2,2,1,112,3
4.25.0,4.25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25.1,4.25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25.2,4.26.0,2902,143,1217,14,61,228,18,22,442,0,34,6,27,7,103,0,578,1,0,2,2,1,0,30,0,107,2
4.26.0,4.27.0,9486,2217,908,43,20,1624,2469,0,1819,0,2052,0,39,12,220,0,111,0,0,0,0,0,0,4,0,165,0
4.27.0,4.28.0,3398,240,1814,31,2,140,1,0,918,0,9,0,26,4,184,0,33,0,0,0,5,0,0,0,0,227,4
4.28.0,4.28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.28.1,4.29.0,8666,5333,1219,38,68,808,4,3,986,1,5120,1,31,10,153,8,3,0,0,1,1,1,0,5,0,205,0
4.29.0,4.29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.29.1,4.30.0,1406,190,500,30,3,162,1,1,423,0,114,4,23,7,44,0,5,0,0,1,7,0,0,5,1,75,0
4.30.0,4.31.0,2272,162,834,36,2,334,2,0,698,0,14,1,42,8,141,0,3,0,0,1,5,1,0,2,0,148,0
4.31.0,4.32.0,1865,179,1065,105,25,139,33,5,116,0,5,0,9,4,83,0,98,0,0,1,2,0,1,0,3,166,5
4.32.0,4.32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
